Identifier,Institution Name,Owner,Established Since,Address,Phone Number,Email,Website,Status,Condition,Institution Type,License Number,Tax Number,Village,Province Name,City Name,Sectors,Popular Vocationals
db736ca8-af64-4219-ab97-e5b86fbfe79b,LPK YUDITH,JUDY HERLINA,2020,JL.PB.SUDIRMAN NO.69 RT 002/RW 001.PATOKAN.KEC.SITUBONDO.PROVINSI JAWA TIMUR.KODE POS 68312,081249244888,judiherlin@gmail.com,,published,operational,LPK SWASTA,02202021428440001,665295648656000,Patokan,JAWA TIMUR,KAB. SITUBONDO,JASA,TATA KECANTIKAN
b208cf7e-18a2-45e1-ad40-7e454ed2bcc5,LA AESTHETIC ACADEMY,"ANGGRIYANI LOULA FLORIDA LENGKONG,S.KEB",2024,"JALAN VETERAN, DESA/KELURAHAN TLOGOANYAR, KEC. LAMONGAN, KAB.
LAMONGAN, PROVINSI JAWA TIMUR,",08819864497,laaestheticacademy@gmail.com,-,published,operational,LPK SWASTA,10052300983080004,408514263645000,Tlogoanyar,JAWA TIMUR,KAB. LAMONGAN,JASA,TATA KECANTIKAN
f966c1f2-bb99-4a63-9996-495a8364865f,LPK HANKUK SIPPO KOREA,MALIKUL KINTAN,2023,"JL. RAYA GANDUSARI - TRENGGALEK DESA JATIPRAHU KECAMATAN KARANGAN
KABUPATEN TRENGGALEK, DESA/KELURAHAN JATIPRAHU, KEC. KARANGAN, KAB.
TRENGGALEK, PROVINSI JAWA TIMUR",081235801022,mkhintan69@gmail.com,,published,operational,LPK SWASTA,06102100490330010,650086416629001,Prambon,JAWA TIMUR,KAB. TRENGGALEK,JASA,BISNIS DAN MANAJEMEN
d0a7b1db-e73d-4563-8520-ec5fdeb039eb,BLK KOMUNITAS YAYASAN AL AZIZ KARE,KATAMSO,2023,JL. RAYA GEMARANG DESA RANDUALAS KECAMATAN KARE KABUPATEN MADIUN,082141312831,blkkyayasanalazizkare@gmail.com,,published,operational,BLK KOMUNITAS,AHU-0004362.AH.01.04.TAHUN 2015,197992803621000,Randualas,JAWA TIMUR,KAB. MADIUN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
5ec491ce-fc6f-4f62-ab64-7ca4b33749ef,BRIGHTLY GLOBAL ACADEMY,TJOKORDA ISTRI TUTY ISMAYANTHI,2024,"JALAN RAYA ABIANBASE NO. 11, KAPAL, KECAMATAN MENGWI, KABUPATEN BADUNG, BALI",03612101999,brightlyglobal.academy@gmail.com,https://brightlyglobal-academy.com/,published,operational,LPK SWASTA,27052400988520009,208117846906000,Abianbase,BALI,KAB. BADUNG,"JASA, KESEHATAN","BISNIS DAN MANAJEMEN, METODOLOGI PELATIHAN, ELDERLY CARETAKER, HOUSEKEEPING, TATA BOGA, PROCESSING, PARIWISATA"
bcda65de-3b91-4850-95c0-5ca72eae995c,BLK MAMBA'UL HUDA,"MUNAJI, SE",2023,"JALAN GANGGANGAN, DUSUN SUMBERURIP RT 04 RW 10, DESA BARUREJO, KECAMATAN SILIRAGUNG, KABUPATEN BANYUWANGI, PROVINSI BANYUWANGI",081232671999,blkmambaulhuda@gmail.com,,published,new,BLK KOMUNITAS,05092400946110001,127286912627000,Barurejo,JAWA TIMUR,KAB. BANYUWANGI,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
f1d0a747-3e2f-4908-88cb-145b19e39cb0,LPK ACADEMY DIGITAL MARKETING INDONESIA,DIMAS ALIEF PRAYITNO,2024,"RUKO PASAR MODERN PARAMOUNT BLOK I NOMOR 6, DESA/KELURAHAN CURUG SANGERENG, KEC. KELAPA DUA, KAB. TANGERANG, PROVINSI BANTEN",6281295530471,akademidigitalmarketing01@gmail.com,https://akademidigitalmarketing.id/,published,operational,LPK SWASTA,25082100354290011,433522166416000,Kadu Jaya,BANTEN,KAB. TANGERANG,"PERDAGANGAN, KOMUNIKASI, JASA",TEKNOLOGI INFORMASI DAN KOMUNIKASI
da32bac3-1b0d-4963-8105-50abdc5ff98e,LPK SEWOON PONOROGO,ENDRA LUKY NUGROHO,2024,DUKUH TUMPUK RT 006 RW 003 DESA TANJUNG REJO KECAMATAN BADEGAN PONOROGO,085216484567,sewoonhakwoon@gmail.com,www.lpksewoonponorogo.com,published,operational,LPK SWASTA,202408-1819-3415-5458-685,055508584647000,Tanjunggunung,JAWA TIMUR,KAB. PONOROGO,JASA,METODOLOGI PELATIHAN
e0a0ea4e-11e2-4006-82c3-3c24eb6f6d56,LPK PT. TIA,AULIA MAHARDHIKA,2023,"RUKO CENTRO HAVANA BSD,
JALAN DE LATINOS BLOK MA NO.10, RAWA BUNTU KELURAHAN SERPONG KECAMATAN SERPONG
KOTA TANGERANG SELATAN, DESA/KELURAHAN SERPONG, KEC. SERPONG, KOTA TANGERANG
SELATAN, PROVINSI BANTEN",081916899995,lpktiaakreditasi@gmail.com,,published,operational,LPK SWASTA,12930002227620021,841100290411001,Rawabuntu,BANTEN,KOTA TANGERANG SELATAN,JASA,PRODUKTIVITAS
abf3d83a-a932-46dc-89c0-78acf61e672d,YAYASAN SENI UNTUK BANGSAKU / LPK NUSANTARA NIHONGO CENTER,UMY SUMIYATI,2022,"JL. MERPATI RAYA NO. 55 RT.07 RW.01 KEC. CIPUTAT KOTA TANGERANG SELATAN   
PROVINSI BANTEN.",085271000900,nncindonesia01@gmail.com,lpknnc.com,published,operational,LPK SWASTA,30032200360360006,620774901453000,Sawah Baru,BANTEN,KOTA TANGERANG SELATAN,"KOMUNIKASI, JASA","BISNIS DAN MANAJEMEN, BAHASA JEPANG"
1e76e4c5-c2e8-4131-ad66-574f04f98d41,JINZAI INDONESIA CENTER,MUHAMMAD RAKHMAN,2024,"JL. SULAIMAN AL-KHARIM NO.20, SERUT, BOYOLANGU, TULUNGAGUNG, JAWA TIMUR",+62 822-3360-4246,jizai.ta@gmail.com,https://lpkjinzai.com,published,operational,LPK SWASTA,29122300199190001,996435624629000,Serut,JAWA TIMUR,KAB. TULUNGAGUNG,JASA,"BISNIS DAN MANAJEMEN, BAHASA JEPANG"
135ea9e2-6ca0-4e41-b72b-e272e02987e5,LANGGENG CIPTA MAKMUR,KRISTINA TRI PRIHARTATI,2024,"RUKAN GRAND SATRIA CITY MEDAN SATRIA, JALAN PEJUANG NO. 1C RT. 003
RW. 007, DESA/KELURAHAN MEDANSATRIA, KEC. MEDANSATRIA, KOTA BEKASI,
PROVINSI JAWA BARAT,",081214003512,langgengciptamakmur@gmail.com,,published,operational,LPK SWASTA,27072300952750006,397760130427000,Medansatria,JAWA BARAT,KOTA BEKASI,JASA,ELDERLY CARETAKER
d912519b-f497-46bb-86a3-c34a320f717a,LPKS MERAH PUTIH,TANTI PURWANINGSIH,2023,JL. BRAWIJAYA NO. 109 DS. TULUNGREJO KEC. PARE KAB. KEDIRI,085606061888,merahputihlpk@gmail.com,lpkmerahputih.blogspot.com,published,operational,LPK SWASTA,28102300343030001,312050453655000,Tulungrejo,JAWA TIMUR,KAB. KEDIRI,PERTANIAN,PROCESSING
56cc218b-0082-4ad0-a3e3-2f767b88a064,ARDOR COFFEE TRAINING,FATHUL QORIB,2024,BSD GRIYA LOKA SEKTOR 1.7  JALAN PAKIS BLOK I3 NO.1 RT.001 RW.011 KEL. GUDANG LENGKONG TIMUR KEC. SERPONG KOTA TANGERANG SELATAN - BANTEN 15321,081210881172,qorz@yahoo.com,,published,operational,LPK SWASTA,2201240087846,998500144411000,Lengkong Gudang Timur,BANTEN,KOTA TANGERANG SELATAN,"JASA, PERKEBUNAN, PERTANIAN","METODOLOGI PELATIHAN, PROCESSING"
333538bd-f1f5-4fbd-a100-39f200041d6b,LPK YAYASAN YADEFFA BINA CENDIKIA,DENY SUDRAJAT,2024,"RUKO SENTRA NIAGA I NO.38 PAKULONAN, KEC. SERPONG UTARA
KOTA TANGERANG SELATAN",081387212023,insandeffisa22@gmail.com,www.yadeffa.com,published,operational,LPK SWASTA,12122200001020002,615356318416000,Medang,BANTEN,KAB. TANGERANG,JASA,BISNIS DAN MANAJEMEN
48d599e9-6b3e-4b70-8e50-a2b6278dde79,SPIL UNIVERSITY,MARIA GABRIELA INDRAWATI NIOSIE,2017,"JL. KALIANAK NO. 51F, DESA/KELURAHAN GENTING KALIANAK, KEC. ASEM ROWO, KOTA SURABAYA, PROVINSI JAWA TIMUR",0816503839,spil.university@spil.co.id,www.spiluniversity.co.id,published,operational,,500.16.7.4/1/G/LPK/436.7.15/2024,011358389614001,Genting Kalianak,JAWA TIMUR,KOTA SURABAYA,JASA,METODOLOGI PELATIHAN
bb70206e-31cc-4746-affb-15cff245ef6f,CV. LPK LINTAS ANUGERAH,SHARAH YU,2017,JL. WERKUDARA NO 09 RT 003 RW 006 KOMPLEK BIMA INDAH DESA TUK KECAMATAN KEDAWUNG KABUPATEN CIREBON PROVINSI JAWA BARAT,0231242093,akbarnurrizki@gmail.com,,published,operational,LPK SWASTA,1207240067434,137936852455000,Kedungjaya,JAWA BARAT,KAB. CIREBON,JASA,"BAHASA INGGRIS, HOUSEKEEPING, ELDERLY CARETAKER, BABY SITTER, BISNIS DAN MANAJEMEN"
aaf1c7b5-4fca-49db-a740-b9a33d5851b1,LPK MANABU INSAN MULIA KEDIRI,TSENI LIANA FEBRIANI,2019,DUSUN NGINO RT 001 RW 003 DESA NGINO KECAMATAN PLEMAHAN KABUPATEN KEDIRI,085708145711,lpkmanabukediri@gmail.com,,published,operational,LPK SWASTA,28052200072050004,408699353655000,Ngino,JAWA TIMUR,KAB. KEDIRI,JASA,"BISNIS DAN MANAJEMEN, BAHASA JEPANG"
8610f5c3-1153-473a-b002-04a135da5c46,MIFTAHUL ULUM SARDUNG,KHOIRUL ANAM,2023,JL. SARDUNG DS. REK KERREK KEC. PALENGAAN KAB. PAMEKASAN,081233241443,blkkmiiftahululumsardung@gmail.com,,published,operational,BLK KOMUNITAS,Surat Pernyataan - BPVP Sidoarjo,393204946608000,Rek Kerrek,JAWA TIMUR,KAB. PAMEKASAN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
7ed7a9b3-f90d-46ec-b833-891a239d95a7,YAYASAN TAROFA INSAN ISLAMI,BRAMONO SETYOKO,2019,JL. CIDURIAN RAYA NO. 161 RT. 005 RW. 001 KEL. BAKTIJAYA KEC. SUKMAJAYA DEPOK,085780533932,lpk.tarofa@gmail.com,,published,operational,LPK SWASTA,1901230077312,934364706412000,Baktijaya,JAWA BARAT,KOTA DEPOK,JASA,METODOLOGI PELATIHAN
faf050b8-55b3-4e42-95e9-222a524cd8e4,CAHAYA VANDA SEJAHTERA,MICHAEL AUGUSTIN,2024,"JL.KH.MOCHTAR TABRANI KALIABANG NANGKA NO.33 RT.02/02 PERWIRA, BEKASI UTARA, KOTA BEKASI",0895362491975,lpkcahayavandasejahterajakarta@gmail.com,-,published,operational,LPK SWASTA,1108230126124,397822735009000,Perwira,JAWA BARAT,KOTA BEKASI,JASA,HOUSEKEEPING
1769963c-192f-4e60-8935-c1dfe7fdf211,LPK BENEFITA INDONESIA,MUYADI AFMAR,1998,"JABABEKA EDUCATION PARK JL. KI HAJAR DEWANTARA BLOK 2A/159, DESA/KELURAHAN SIMPANGAN, KEC. CIKARANG UTARA, KAB. BEKASI, PROVINSI JAWA BARAT",021-89111660,info@benefita.com,www.benefita.com,published,operational,LPK SWASTA,91200052429240002,317009850414000,Simpangan,JAWA BARAT,KAB. BEKASI,JASA,TEKNIK MANUFAKTUR
728da351-a920-4f74-88cb-d9deca08dec2,BLKK NURSYAMSIYYAH JARNAUZIYYAH,"KH. ASEP SAEPULOH, S.SOS",2023,KP. GANDOK RT. 11 RW. 003 DESA NANGELASARI KECAMATAN CIPATUJAH KABUPATEN TASIKMALAYA PROVINSI JAWA BARAT,082115733573,blkknursyamsiyyahjarnauziyyah@gmail.com,,published,operational,BLK KOMUNITAS,02042400207490001,764212767425000,Nangelasari,JAWA BARAT,KAB. TASIKMALAYA,"KOMUNIKASI, JASA, PERTANIAN",TEKNOLOGI INFORMASI DAN KOMUNIKASI
dc9657f2-31ce-4ba0-be83-55d5cbfe4cf6,LPK TW UNGGUL SEJAHTERA,NELLY SURANTA SEMBIRING,2023,KP KRANGGAN TEGAH RT 001/007 KEL. JATIRADEN KEC.JATISAMPURNA KOTA BEKASI,081210623265,nellysembiring2020@gmail.com,,published,operational,LPK SWASTA,9120400782756,025010547432000,Jatiraden,JAWA BARAT,KOTA BEKASI,JASA,ELDERLY CARETAKER
6ad96eac-2841-4c1d-8c3e-540ecc8d7668,BLKK JANKI DAUSAT,MOH. AFIF KHOIRI,2023,"BANDUNG NGAGLIK RT 33, PENDOWOHARJO, SEWON, BANTUL, YOGYAKARTA",081347408352,blkjankidausat@gmail.com,,published,operational,BLK KOMUNITAS,01,969215557543000,Pendowoharjo,DAERAH ISTIMEWA YOGYAKARTA,KAB. BANTUL,INDUSTRI PENGOLAHAN (MANUFAKTUR),GARMEN APPAREL
29e4fb12-834b-4450-843e-ab2669b69831,CIKARANG ACADEMY INDONESIA,"DULHASIM KASIM, S.E., M.M.",2024,"RUKO CIKARANG CENTRAL CITY BLOK F NO. 10 JL. RAYA
CIKARANG - CIBARUSAH KM. 10 NO. 88 , DESA/KELURAHAN CIANTRA, KEC. CIKARANG SELATAN, KAB. BEKASI, PROVINSI JAWA BARAT",087887606777,cikarang.academy.indonesia@gmail.com,,published,operational,LPK SWASTA,0806240025702,203753678413000,Ciantra,JAWA BARAT,KAB. BEKASI,JASA,BAHASA JEPANG
d1729adc-df57-49fc-a7f1-ead68e71b417,FAJAR UTAMA INDRAMAYU,ISNAENI,2021,JL. GATOT SUBROTO NO. 34 D DESA KARANGMALANG KECAMATAN INDRAMAYU KABUPATEN INDRAMAYU,087717771475,lfajarutama@gmail.com,,published,operational,LPK SWASTA,06102100543060002,436440762437001,Karangmalang,JAWA BARAT,KAB. INDRAMAYU,JASA,FAMILY DRIVER
bfd9af86-205d-4118-97bb-e2b078e4b42c,BLKK DARUL MUTAALIMIEN,UDI SAHUDI,2023,"DUSUN CIREJA RT/RW 002/007, DESA CIHIDEUNGHILIR, KEC.CIDAHU, KAB.KUNINGAN, JAWA BARAT",081324966969,blkkdarulmutaalimien@gmail.com,,published,new,BLK KOMUNITAS,Surat Pernyataan dari BBVP Bandung,139194732438000,Cihideung Hilir,JAWA BARAT,KAB. KUNINGAN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
713e7ee9-3ba0-4bd6-b4e6-2970051eb55e,BLK KOMUNITAS PP. SUNAN PANDANARAN,AZKA SYA'BANA,2023,"CANDI WINANGUN RT 01 RW 11, JL. KALIURANG NO.KM 12 5, RW.KALURAHAN, SARDONOHARJO, NGAGLIK, SLEMAN REGENCY, SPECIAL REGION OF YOGYAKARTA",082143333430,blkksunanpandanaran@gmail.com,blkk.sunanpandanaran.com,published,new,BLK KOMUNITAS,20072400477230001,129916656542000,Sardonoharjo,DAERAH ISTIMEWA YOGYAKARTA,KAB. SLEMAN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
2570c567-5570-4f37-a92c-6cfe552ebfa4,BLK KOMUNITAS PP DARUL ULUM,"SITI KHUROTA  A'YUNIN, S.PD.I, M.PD",2023,"DSN. GLAGAHOMBO, DS. KASIHAN, KEC. TEGALOMBO",083845044383,blkk.ponpesdarululum@gmail.com,,published,operational,BLK KOMUNITAS,null,196951750647000,Kasihan,JAWA TIMUR,KAB. PACITAN,PERTANIAN,TATA BUSANA
794c2f70-ab7b-44bc-9cf8-610eb141a0c3,LEMBAGA PELATIHAN KERJA LINTAS BENUA BEKASI,HENDRIYANTO,2022,"TAMAN BUMYAGARA KAV. BUMI KERINCI BLOK F2 NO. 3C, KEL. MUSTIKAJAYA, KEC. MUSTIKJAYA, KOTA BEKASI",087773921991,lpklintasbenuabekasi@gmail.com,-,published,operational,LPK SWASTA,1004220001262,650847403407000,Mustikajaya,JAWA BARAT,KOTA BEKASI,JASA,"ELDERLY CARETAKER, HOUSEKEEPING"
74e1df79-2083-4736-b423-5b6afd4aa785,BLKK PONDOK PESANTREN TAHFIDZUL QURAN BANI HASAN,GUNADI NUR HAFIDZ,2023,"JL. RAYA SERANGAN DANYANG, PRAJEGAN, SUKOREJO, PONOROGO, JAWA TIMUR",085876343695,blkkpptqbanihasan@gmail.com,,published,new,BLK KOMUNITAS,510035020078,212490578647000,Prajegan,JAWA TIMUR,KAB. PONOROGO,JASA,TATA BUSANA
ca4ca4fb-e8fa-4b54-8b7a-5143bcc8e83d,KHATULISTIWA MEGA SOLUSI (PUSAT STUDI DIGITAL),NURJANAH,2021,"RUKO GOLDEN 8 BLOK G NO.2 JL. KI HAJAR DEWANTARA, GADING SERPONG,
TANGERANG, DESA/KELURAHAN PAKULONAN BARAT, KEC. KELAPA DUA, KAB. TANGERANG, PROVINSI BANTEN",6281314216621,pusatstudidigital328@gmail.com,https://pusatstudidigital.id/,published,operational,LPK SWASTA,16082100182960011,431668037015000,Curug Sangereng,BANTEN,KAB. TANGERANG,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
1d964f09-873c-45b9-b7db-d07b362ab906,BLKK YAYASAN MIFTAHUL ULUM NGRAKET,"MAHFUT ARIFIN, S.SOS",2023,DESA NGRAKET KECAMATAN BALONG KABUPATEN PONOROGO,081331946969,blkk.miftahululumngraket@gmail.com,http://www.blkk.yayasanmiftahululumngraket.com,published,operational,BLK KOMUNITAS,null,748226834647000,Karangmojo,JAWA TIMUR,KAB. PONOROGO,PERTANIAN,TEKNOLOGI INFORMASI DAN KOMUNIKASI
2b8a15ca-76e7-4939-b1f4-ee79ba97e298,BLKK MWC NAHDLATUL ULAMA PANEKAN,MUDZAKKIR,2023,"JL. RAYA PANEKAN - KENDAL, NO 09, KECAMATAN PANEKAN KABUPATEN MAGETAN JAWA TIMUR INDONESIA",085739121109,blkkmwcnupanekan@gmail.com,,published,operational,BLK KOMUNITAS,null,199173493646000,Panekan,JAWA TIMUR,KAB. MAGETAN,"PERDAGANGAN, JASA, INDUSTRI PENGOLAHAN (MANUFAKTUR)",GARMEN APPAREL
4d304426-9489-4c15-ab37-57582518c6b1,BLKK MIFTAHUL ULUM MORANG,SUROTO,2023,RT/RW. 05/03 DESA MORANG KECAMATAN KARE KABUPATEN MADIUN JAWA TIMUR,081357530446,omuzni@gmail.com,,published,operational,BLK KOMUNITAS,2306240023267,742275191621000,Kare,JAWA TIMUR,KAB. MADIUN,PERTANIAN,INDUSTRI KREATIF
b2ce879d-e63e-4b8e-a4cc-59f058da8d82,BLKK PONPES NUSA BAKTI DUA,BEKI SYIHABUDDIN,2023,DUSUN NGANDONG RT 002 RW 010 DESA KARANGTENGAH PRANDON KECAMATAN NGAWI KABUPATEN NGAWI PROVINSI JAWA TIMUR,0895414992780,pnusabaktidua@gmail.com,,published,new,BLK KOMUNITAS,2406352104,213788961646000,Karangtengah Pandon,JAWA TIMUR,KAB. NGAWI,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
0b1870f6-2e92-4d1c-a6f2-4bde21d77f9d,BLKK SYECH SALAUBINA,NUR HIDAYAT,2023,"NGRAMPAL RT 006/003, SIDOLAJU, WIDODAREN, NGAWI",085648683831,blksyechsalaubina@gmail.com,,published,new,BLK KOMUNITAS,1705240076092,622671998646000,Sidolaju,JAWA TIMUR,KAB. NGAWI,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
aa2c8867-1713-4c85-ad2c-81f6b3d06f08,BLKK PONDOK PESANTREN DARUL AITAM ARROMLI,MUSTAFA,2023,DSN.UTARA RT.001/004 CURAHKALAK KEC.JANGKAR KAB.SITUBONDO JAWA TIMUR,081358482340,blkpparromli23@gmail.com,,published,operational,BLK KOMUNITAS,563/530/431.306.2.1/2024,196601652656000,Curah Kalak,JAWA TIMUR,KAB. SITUBONDO,PERTANIAN,TEKNOLOGI INFORMASI DAN KOMUNIKASI
1b5d3033-342c-4242-855f-428d4c29f1d6,BLKK NURUL ISLAM NGAWI,AL FIAN PURNOMO AJI,2022,DUSUN PLESET 1 RT 01 RW 01 DESA PLESET KECAMATAN PANGKUR KABUPATEN NGAWI,087759292486,alfianpurnomo19@gmail.com,,published,operational,BLK KOMUNITAS,2006240117246,408891440646000,Pleset,JAWA TIMUR,KAB. NGAWI,"JASA, KOMUNIKASI, PERTANIAN",TEKNOLOGI INFORMASI DAN KOMUNIKASI
11a547bf-a629-47c6-b2a8-c292a419c445,BLKK PONDOK PESANTREN SABILUL HIDAYAH,"ETIK SURYANI, S.PD., MM",2023,JL. RAYA TULAKAN-PONOROGO KM 7 DESA NGUMBUL KECAMATAN TULAKAN KABUPATEN PACITAN,082143458977,blkksabilulhidayah@gmail.com,,published,new,BLK KOMUNITAS,0502240016175,197790009647000,Ngumbul,JAWA TIMUR,KAB. PACITAN,JASA,TEKNIK OTOMOTIF
a2ca33a2-6e6e-4d7a-bb37-30280b479582,BLKK PONDOK PESANTREN NAILUL ULUM,MUHAMMAD ROUFUL IBAD,2023,DUSUN KADEMANGAN DESA BENDOAGUNG KECAMATAN KAMPAK KABUPATEN TRENGGALEK,085736616635,nailululum1947@gmail.com,,published,new,BLK KOMUNITAS,0908220013755,197484116629000,Bendoagung,JAWA TIMUR,KAB. TRENGGALEK,PERTANIAN,TEKNOLOGI INFORMASI DAN KOMUNIKASI
f814e111-14fd-4b10-b1e4-b3d8a07d03f0,LPK SWASTA PUTRI LYNA COLLECTION,FELINA KURNIA RAMADHANI,2023,JL. TEGALGONDO MOJOREJO RT.17 RW.04 DESA PENDEM KEC. JUNREJO KOTA BATU,085708688205,putrilynacollection@gmail.com,,published,operational,LPK SWASTA,AHU-0000871.AH.01.08,425572187628000,Pendem,JAWA TIMUR,KOTA BATU,JASA,GARMEN APPAREL
9c3a35be-e1a1-464e-85ee-fda036fa1219,BLKK YAYASAN FIE SABILIL MUTTAQIEN TEMPUREJO,DIAN TRI PRASETYA,2023,"TEMPUREJO, TEMPURAN, PARON, NGAWI",082337543376,blkfiesabililmuttaqien@gmail.com,,published,operational,BLK KOMUNITAS,Y1-FSM/83/SP/VI/2024,710202201646000,Tempuran,JAWA TIMUR,KAB. NGAWI,"JASA, KOMUNIKASI",TEKNOLOGI INFORMASI DAN KOMUNIKASI
fb21c8b1-2bb2-4a2d-802b-55e06f4b5df6,PT JENNIMES JAYA BERSAMA,JAP FIDELIS YUKI SUILITA,2024,"1. JL. H.S NAWI 1 NO.87  CIATER , SERPONG, KOTA TANGERANG SELATAN",081882878225,jennimes.jayabersama@gmail.com,-,published,operational,LPK SWASTA,05032400964120001,995628930411000,Pakualam,BANTEN,KOTA TANGERANG SELATAN,JASA,ELDERLY CARETAKER
